method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
LHS,25,12,0.003207130146388359,0.0069614409193235,0.9871049703591145,0.5136385271103407,0.02739999999999998,1.0,0.01660691195952657
LHS,25,13,0.0014417053878427672,0.002492387669358966,0.9983470670033768,0.24081935273920535,0.02739999999999998,0.0,0.004403243867079132
LHS,25,14,0.0017108508714708422,0.0033041575551220202,0.9970950038754427,0.27626612322905375,0.02739999999999998,0.0,0.0005959148666750957
LHS,25,15,0.0021376503148886773,0.004134611201683549,0.9954512358960073,0.3348287198449885,0.0049000000000000155,2.0,0.014580156343946049
LHS,25,16,0.0018368762256032896,0.0032822686692270905,0.9971333655494344,0.2906870965759166,0.02739999999999998,1.0,0.002356097641314614
LHS,25,17,0.0018157871080882043,0.003178108654694928,0.997312419116459,0.29594621771816126,0.018299999999999983,0.0,0.004688118057363688
LHS,25,18,0.00220303609097402,0.004973878353236048,0.9934171436166161,0.3518938004843356,0.02739999999999998,1.0,0.00616888426115314
LHS,25,19,0.0014680186101866065,0.0024673599142255717,0.9983800967721301,0.24262000772447387,0.0,0.0,0.005771854389479358
LHS,30,0,0.0020571951420514847,0.004023208720389361,0.9956930563542453,0.34065378763457577,0.02739999999999998,1.0,0.0015864602257935623
LHS,30,1,0.002563728593461009,0.005946440775080553,0.9905911129087956,0.4121543563508413,0.02739999999999998,1.0,0.010806621058908616
LHS,30,2,0.0020461788185735835,0.00404350469755187,0.9956494920627662,0.3272148655042931,0.02739999999999998,0.0,0.009345377294015633
LHS,30,3,0.001321825360213576,0.0026986915877583698,0.9980621035286079,0.21253758643635895,0.02739999999999998,0.0,0.0039963568188178256
LHS,30,4,0.0014757688252172772,0.0027860521388212373,0.9979346077615089,0.2481588662902071,0.02739999999999998,0.0,0.003520909444839182
LHS,30,5,0.0018995241438924894,0.003867925719423431,0.9960191087677887,0.306506261717262,0.02739999999999998,1.0,0.0032544909210000528
